Interaction:  A_\rho_102(X)  A_\sigma_316(X)  to  e_alpha_139(X)  AntiPart e_beta_43(X)^(*) : Vertex V_0:A(X_2), e(X_3), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_4),  OffShell e(V_1), : -1/2*i*e^2*(p_2_%\mu_87*gamma_{+%\mu_87,%gam_187,%gam_188}*gamma_{%\sigma_175,%gam_150,%gam_187}*gamma_{%\sigma_177,%gam_188,%del_144}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_144}(p_4)_v*e_{i_7,%gam_150}(p_3)_u^(*) + (-2)*p_3_%\sigma_175*gamma_{%\sigma_177,%gam_158,%del_149}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_149}(p_4)_v*e_{i_7,%gam_158}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_4453(X)  A_\sigma_7150(X)  to  u_eps_2638(X)  AntiPart u_eta_5786(X)^(*) : Vertex V_0:A(X_2), u(X_3), AntiPart  OffShell u(V_0), Vertex V_1:A(X_1), AntiPart u(X_4),  OffShell u(V_1), : -2/9*i*e^2*(p_2_%\tau_6730*gamma_{%\mu_4262,%eta_5742,%eta_5696}*gamma_{%\nu_4523,%eta_5695,%eta_5741}*gamma_{+%\tau_6730,%eta_5741,%eta_5742}*A_{k_1545,+%\mu_4262}(p_1)*A_{l_1545,+%\nu_4523}(p_2)*u_{j_1547,%eta_5696}(p_4)_v*u_{i_1547,%eta_5695}(p_3)_u^(*) + (-2)*p_3_%\nu_4523*gamma_{%\mu_4262,%eta_5704,%eta_5705}*A_{k_1545,+%\mu_4262}(p_1)*A_{l_1545,+%\nu_4523}(p_2)*u_{j_1547,%eta_5705}(p_4)_v*u_{i_1547,%eta_5704}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_u^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_4453(X)  A_\sigma_7150(X)  to  AntiPart u_gam_10051(X)^(*)  u_del_5395(X) : Vertex V_0:A(X_2), u(X_4), AntiPart  OffShell u(V_0), Vertex V_1:A(X_1), AntiPart u(X_3),  OffShell u(V_1), : -2/9*i*e^2*(p_2_%\tau_6820*gamma_{%\rho_4495,%eta_6301,%gam_9980}*gamma_{%\sigma_7195,%eta_6275,%eta_6300}*gamma_{+%\tau_6820,%eta_6300,%eta_6301}*A_{l_1575,+%\sigma_7195}(p_2)*A_{k_1575,+%\rho_4495}(p_1)*u_{i_1577,%gam_9980}(p_3)_v*u_{j_1577,%eta_6275}(p_4)_u^(*) + (-2)*p_4_%\sigma_7195*gamma_{%\rho_4495,%eta_6283,%gam_9983}*A_{l_1575,+%\sigma_7195}(p_2)*A_{k_1575,+%\rho_4495}(p_1)*u_{i_1577,%gam_9983}(p_3)_v*u_{j_1577,%eta_6283}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_u^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\rho_4453(X)  A_\sigma_7150(X)  to  AntiPart u_gam_10051(X)^(*)  u_del_5395(X) : Vertex V_1:A(X_2), AntiPart u(X_3),  OffShell u(V_1), Vertex V_0:A(X_1), u(X_4), AntiPart  OffShell u(V_0), : 2/9*i*e^2*(p_2_%\lambda_5368*gamma_{+%\lambda_5368,%eta_6349,%eta_6350}*gamma_{%\rho_4529,%eta_6320,%eta_6349}*gamma_{%\sigma_7222,%eta_6350,%gam_10012}*A_{l_1575,+%\sigma_7222}(p_2)*A_{k_1575,+%\rho_4529}(p_1)*u_{i_1577,%gam_10012}(p_3)_v*u_{j_1577,%eta_6320}(p_4)_u^(*) + (-2)*p_3_%\sigma_7222*gamma_{%\rho_4529,%eta_6326,%gam_10015}*A_{l_1575,+%\sigma_7222}(p_2)*A_{k_1575,+%\rho_4529}(p_1)*u_{i_1577,%gam_10015}(p_3)_v*u_{j_1577,%eta_6326}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_u^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_4453(X)  AntiPart A_\rho_4759(X)  to  u_eta_6902(X)  AntiPart u_alpha_3317(X)^(*) : Vertex V_1:A(X_2), AntiPart u(X_4),  OffShell u(V_1), Vertex V_0:A(X_1), u(X_3), AntiPart  OffShell u(V_0), : 2/9*i*e^2*(p_2_%\mu_4620*gamma_{+%\mu_4620,%eta_6797,%eta_6798}*gamma_{%\nu_4734,%eta_6798,%alpha_3206}*gamma_{%\rho_4688,%eta_6764,%eta_6797}*A_{l_1609,+%\nu_4734}(p_2)*A_{k_1609,+%\rho_4688}(p_1)*u_{i_1611,%eta_6764}(p_3)_u^(*)*u_{j_1611,%alpha_3206}(p_4)_v + (-2)*p_4_%\nu_4734*gamma_{%\rho_4688,%eta_6770,%alpha_3209}*A_{l_1609,+%\nu_4734}(p_2)*A_{k_1609,+%\rho_4688}(p_1)*u_{i_1611,%eta_6770}(p_3)_u^(*)*u_{j_1611,%alpha_3209}(p_4)_v)/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_u^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\rho_4453(X)  AntiPart A_\rho_4759(X)  to  u_eta_6902(X)  AntiPart u_alpha_3317(X)^(*) : Vertex V_0:A(X_2), u(X_3), AntiPart  OffShell u(V_0), Vertex V_1:A(X_1), AntiPart u(X_4),  OffShell u(V_1), : -2/9*i*e^2*(p_2_%\tau_6944*gamma_{%\nu_4759,%eta_6820,%eta_6857}*gamma_{%\rho_4724,%eta_6858,%alpha_3249}*gamma_{+%\tau_6944,%eta_6857,%eta_6858}*A_{l_1609,+%\nu_4759}(p_2)*A_{k_1609,+%\rho_4724}(p_1)*u_{i_1611,%eta_6820}(p_3)_u^(*)*u_{j_1611,%alpha_3249}(p_4)_v + (-2)*p_3_%\nu_4759*gamma_{%\rho_4724,%eta_6826,%alpha_3252}*A_{l_1609,+%\nu_4759}(p_2)*A_{k_1609,+%\rho_4724}(p_1)*u_{i_1611,%eta_6826}(p_3)_u^(*)*u_{j_1611,%alpha_3252}(p_4)_v)/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_u^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_4453(X)  AntiPart A_\rho_4759(X)  to  AntiPart u_del_5611(X)^(*)  u_eps_2782(X) : Vertex V_1:A(X_2), AntiPart u(X_3),  OffShell u(V_1), Vertex V_0:A(X_1), u(X_4), AntiPart  OffShell u(V_0), : 2/9*i*e^2*(p_2_%\rho_4878*gamma_{%\rho_4874,%eta_7269,%eta_7298}*gamma_{%\rho_4876,%eta_7299,%del_5540}*gamma_{+%\rho_4878,%eta_7298,%eta_7299}*A_{k_1639,+%\rho_4874}(p_1)*A_{l_1639,+%\rho_4876}(p_2)*u_{i_1641,%del_5540}(p_3)_v*u_{j_1641,%eta_7269}(p_4)_u^(*) + (-2)*p_3_%\rho_4876*gamma_{%\rho_4874,%eta_7277,%del_5543}*A_{k_1639,+%\rho_4874}(p_1)*A_{l_1639,+%\rho_4876}(p_2)*u_{i_1641,%del_5543}(p_3)_v*u_{j_1641,%eta_7277}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_u^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_4453(X)  AntiPart A_\rho_4759(X)  to  AntiPart u_del_5611(X)^(*)  u_eps_2782(X) : Vertex V_0:A(X_2), u(X_4), AntiPart  OffShell u(V_0), Vertex V_1:A(X_1), AntiPart u(X_3),  OffShell u(V_1), : -2/9*i*e^2*(p_2_%\nu_4917*gamma_{+%\nu_4917,%eta_7343,%eta_7344}*gamma_{%\rho_4936,%eta_7344,%del_5569}*gamma_{%\rho_4938,%eta_7320,%eta_7343}*A_{k_1639,+%\rho_4936}(p_1)*A_{l_1639,+%\rho_4938}(p_2)*u_{i_1641,%del_5569}(p_3)_v*u_{j_1641,%eta_7320}(p_4)_u^(*) + (-2)*p_4_%\rho_4938*gamma_{%\rho_4936,%eta_7326,%del_5572}*A_{k_1639,+%\rho_4936}(p_1)*A_{l_1639,+%\rho_4938}(p_2)*u_{i_1641,%del_5572}(p_3)_v*u_{j_1641,%eta_7326}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_u^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_5027(X)  A_\rho_5263(X)  to  u_alpha_3717(X)  AntiPart u_beta_2201(X)^(*) : Vertex V_0:A(X_2), u(X_3), AntiPart  OffShell u(V_0), Vertex V_1:A(X_1), AntiPart u(X_4),  OffShell u(V_1), : -2/9*i*e^2*(p_2_%\tau_7104*gamma_{%\mu_4900,%eta_7765,%eta_7798}*gamma_{%\tau_7102,%eta_7799,%beta_2136}*gamma_{+%\tau_7104,%eta_7798,%eta_7799}*A_{k_1673,+%\tau_7102}(p_1)*A_{l_1673,+%\mu_4900}(p_2)*u_{j_1675,%beta_2136}(p_4)_v*u_{i_1675,%eta_7765}(p_3)_u^(*) + (-2)*p_3_%\mu_4900*gamma_{%\tau_7102,%eta_7771,%beta_2139}*A_{k_1673,+%\tau_7102}(p_1)*A_{l_1673,+%\mu_4900}(p_2)*u_{j_1675,%beta_2139}(p_4)_v*u_{i_1675,%eta_7771}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_u^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_5027(X)  A_\rho_5263(X)  to  u_alpha_3717(X)  AntiPart u_beta_2201(X)^(*) : Vertex V_1:A(X_2), AntiPart u(X_4),  OffShell u(V_1), Vertex V_0:A(X_1), u(X_3), AntiPart  OffShell u(V_0), : 2/9*i*e^2*(p_2_%\lambda_5606*gamma_{+%\lambda_5606,%eta_7851,%eta_7852}*gamma_{%\mu_4925,%eta_7852,%beta_2171}*gamma_{%\tau_7147,%eta_7820,%eta_7851}*A_{k_1673,+%\tau_7147}(p_1)*A_{l_1673,+%\mu_4925}(p_2)*u_{j_1675,%beta_2171}(p_4)_v*u_{i_1675,%eta_7820}(p_3)_u^(*) + (-2)*p_4_%\mu_4925*gamma_{%\tau_7147,%eta_7828,%beta_2174}*A_{k_1673,+%\tau_7147}(p_1)*A_{l_1673,+%\mu_4925}(p_2)*u_{j_1675,%beta_2174}(p_4)_v*u_{i_1675,%eta_7828}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_u^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_5027(X)  A_\rho_5263(X)  to  AntiPart u_alpha_3923(X)^(*)  u_beta_2387(X) : Vertex V_1:A(X_2), u(X_4), AntiPart  OffShell u(V_1), Vertex V_0:A(X_1), AntiPart u(X_3),  OffShell u(V_0), : -2/9*i*e^2*(p_2_%\lambda_5696*gamma_{+%\lambda_5696,%eta_8292,%eta_8293}*gamma_{%\nu_5070,%eta_8293,%alpha_3824}*gamma_{%\rho_5302,%eta_8269,%eta_8292}*A_{k_1703,+%\nu_5070}(p_1)*A_{l_1703,+%\rho_5302}(p_2)*u_{i_1705,%alpha_3824}(p_3)_v*u_{j_1705,%eta_8269}(p_4)_u^(*) + (-2)*p_4_%\rho_5302*gamma_{%\nu_5070,%eta_8275,%alpha_3827}*A_{k_1703,+%\nu_5070}(p_1)*A_{l_1703,+%\rho_5302}(p_2)*u_{i_1705,%alpha_3827}(p_3)_v*u_{j_1705,%eta_8275}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_u^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_5027(X)  A_\rho_5263(X)  to  AntiPart u_alpha_3923(X)^(*)  u_beta_2387(X) : Vertex V_0:A(X_2), AntiPart u(X_3),  OffShell u(V_0), Vertex V_1:A(X_1), u(X_4), AntiPart  OffShell u(V_1), : 2/9*i*e^2*(p_2_%\sigma_7572*gamma_{%\nu_5104,%eta_8314,%eta_8343}*gamma_{%\rho_5328,%eta_8344,%alpha_3861}*gamma_{+%\sigma_7572,%eta_8343,%eta_8344}*A_{k_1703,+%\nu_5104}(p_1)*A_{l_1703,+%\rho_5328}(p_2)*u_{i_1705,%alpha_3861}(p_3)_v*u_{j_1705,%eta_8314}(p_4)_u^(*) + (-2)*p_3_%\rho_5328*gamma_{%\nu_5104,%eta_8322,%alpha_3864}*A_{k_1703,+%\nu_5104}(p_1)*A_{l_1703,+%\rho_5328}(p_2)*u_{i_1705,%alpha_3864}(p_3)_v*u_{j_1705,%eta_8322}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_u^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_5027(X)  AntiPart A_\nu_5335(X)  to  u_eta_8900(X)  AntiPart u_alpha_4259(X)^(*) : Vertex V_1:A(X_2), AntiPart u(X_4),  OffShell u(V_1), Vertex V_0:A(X_1), u(X_3), AntiPart  OffShell u(V_0), : 2/9*i*e^2*(p_2_%\tau_7410*gamma_{%\mu_5249,%eta_8796,%alpha_4148}*gamma_{%\nu_5263,%eta_8762,%eta_8795}*gamma_{+%\tau_7410,%eta_8795,%eta_8796}*A_{k_1737,+%\nu_5263}(p_1)*A_{l_1737,+%\mu_5249}(p_2)*u_{i_1739,%eta_8762}(p_3)_u^(*)*u_{j_1739,%alpha_4148}(p_4)_v + (-2)*p_4_%\mu_5249*gamma_{%\nu_5263,%eta_8768,%alpha_4151}*A_{k_1737,+%\nu_5263}(p_1)*A_{l_1737,+%\mu_5249}(p_2)*u_{i_1739,%eta_8768}(p_3)_u^(*)*u_{j_1739,%alpha_4151}(p_4)_v)/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_u^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_5027(X)  AntiPart A_\nu_5335(X)  to  u_eta_8900(X)  AntiPart u_alpha_4259(X)^(*) : Vertex V_0:A(X_2), u(X_3), AntiPart  OffShell u(V_0), Vertex V_1:A(X_1), AntiPart u(X_4),  OffShell u(V_1), : -2/9*i*e^2*(p_2_%\lambda_5823*gamma_{+%\lambda_5823,%eta_8855,%eta_8856}*gamma_{%\mu_5274,%eta_8816,%eta_8855}*gamma_{%\nu_5300,%eta_8856,%alpha_4190}*A_{k_1737,+%\nu_5300}(p_1)*A_{l_1737,+%\mu_5274}(p_2)*u_{i_1739,%eta_8816}(p_3)_u^(*)*u_{j_1739,%alpha_4190}(p_4)_v + (-2)*p_3_%\mu_5274*gamma_{%\nu_5300,%eta_8822,%alpha_4193}*A_{k_1737,+%\nu_5300}(p_1)*A_{l_1737,+%\mu_5274}(p_2)*u_{i_1739,%eta_8822}(p_3)_u^(*)*u_{j_1739,%alpha_4193}(p_4)_v)/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_u^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_5027(X)  AntiPart A_\nu_5335(X)  to  AntiPart u_del_6111(X)^(*)  u_eps_2992(X) : Vertex V_1:A(X_2), AntiPart u(X_3),  OffShell u(V_1), Vertex V_0:A(X_1), u(X_4), AntiPart  OffShell u(V_0), : 2/9*i*e^2*(p_2_%\nu_5454*gamma_{%\nu_5450,%eta_9269,%eta_9298}*gamma_{%\nu_5452,%eta_9299,%del_6040}*gamma_{+%\nu_5454,%eta_9298,%eta_9299}*A_{k_1767,+%\nu_5450}(p_1)*A_{l_1767,+%\nu_5452}(p_2)*u_{j_1769,%eta_9269}(p_4)_u^(*)*u_{i_1769,%del_6040}(p_3)_v + (-2)*p_3_%\nu_5452*gamma_{%\nu_5450,%eta_9277,%del_6043}*A_{k_1767,+%\nu_5450}(p_1)*A_{l_1767,+%\nu_5452}(p_2)*u_{j_1769,%eta_9277}(p_4)_u^(*)*u_{i_1769,%del_6043}(p_3)_v)/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_u^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_5027(X)  AntiPart A_\nu_5335(X)  to  AntiPart u_del_6111(X)^(*)  u_eps_2992(X) : Vertex V_0:A(X_2), u(X_4), AntiPart  OffShell u(V_0), Vertex V_1:A(X_1), AntiPart u(X_3),  OffShell u(V_1), : -2/9*i*e^2*(p_2_%\mu_5486*gamma_{+%\mu_5486,%eta_9343,%eta_9344}*gamma_{%\nu_5513,%eta_9344,%del_6069}*gamma_{%\nu_5515,%eta_9320,%eta_9343}*A_{k_1767,+%\nu_5513}(p_1)*A_{l_1767,+%\nu_5515}(p_2)*u_{j_1769,%eta_9320}(p_4)_u^(*)*u_{i_1769,%del_6069}(p_3)_v + (-2)*p_4_%\nu_5515*gamma_{%\nu_5513,%eta_9326,%del_6072}*A_{k_1767,+%\nu_5513}(p_1)*A_{l_1767,+%\nu_5515}(p_2)*u_{j_1769,%eta_9326}(p_4)_u^(*)*u_{i_1769,%del_6072}(p_3)_v)/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_u^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_6553(X)  A_\tau_8149(X)  to  d_gam_10939(X)  AntiPart d_del_6503(X)^(*) : Vertex V_1:A(X_2), AntiPart d(X_4),  OffShell d(V_1), Vertex V_0:A(X_1), d(X_3), AntiPart  OffShell d(V_0), : 1/18*i*e^2*(p_2_%\rho_6142*gamma_{%\rho_6140,%gam_10819,%gam_10850}*gamma_{+%\rho_6142,%gam_10850,%gam_10851}*gamma_{%\sigma_8351,%gam_10851,%del_6410}*A_{k_1993,+%\rho_6140}(p_1)*A_{l_1993,+%\sigma_8351}(p_2)*d_{i_1995,%gam_10819}(p_3)_u^(*)*d_{j_1995,%del_6410}(p_4)_v + (-2)*p_4_%\sigma_8351*gamma_{%\rho_6140,%gam_10825,%del_6413}*A_{k_1993,+%\rho_6140}(p_1)*A_{l_1993,+%\sigma_8351}(p_2)*d_{i_1995,%gam_10825}(p_3)_u^(*)*d_{j_1995,%del_6413}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_d^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_6553(X)  A_\tau_8149(X)  to  d_gam_10939(X)  AntiPart d_del_6503(X)^(*) : Vertex V_0:A(X_2), d(X_3), AntiPart  OffShell d(V_0), Vertex V_1:A(X_1), AntiPart d(X_4),  OffShell d(V_1), : -1/18*i*e^2*(p_2_%\nu_6412*gamma_{+%\nu_6412,%gam_10900,%gam_10901}*gamma_{%\rho_6183,%gam_10901,%del_6443}*gamma_{%\sigma_8370,%gam_10873,%gam_10900}*A_{k_1993,+%\rho_6183}(p_1)*A_{l_1993,+%\sigma_8370}(p_2)*d_{i_1995,%gam_10873}(p_3)_u^(*)*d_{j_1995,%del_6443}(p_4)_v + (-2)*p_3_%\sigma_8370*gamma_{%\rho_6183,%gam_10879,%del_6446}*A_{k_1993,+%\rho_6183}(p_1)*A_{l_1993,+%\sigma_8370}(p_2)*d_{i_1995,%gam_10879}(p_3)_u^(*)*d_{j_1995,%del_6446}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_d^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_6553(X)  A_\tau_8149(X)  to  AntiPart d_eps_3224(X)^(*)  d_eta_9878(X) : Vertex V_1:A(X_2), AntiPart d(X_3),  OffShell d(V_1), Vertex V_0:A(X_1), d(X_4), AntiPart  OffShell d(V_0), : 1/18*i*e^2*(p_2_%\nu_6555*gamma_{%\nu_6553,%gam_11332,%gam_11359}*gamma_{+%\nu_6555,%gam_11359,%gam_11360}*gamma_{%\tau_8197,%gam_11360,%eps_3171}*A_{l_2023,+%\tau_8197}(p_2)*A_{k_2023,+%\nu_6553}(p_1)*d_{i_2025,%eps_3171}(p_3)_v*d_{j_2025,%gam_11332}(p_4)_u^(*) + (-2)*p_3_%\tau_8197*gamma_{%\nu_6553,%gam_11338,%eps_3174}*A_{l_2023,+%\tau_8197}(p_2)*A_{k_2023,+%\nu_6553}(p_1)*d_{i_2025,%eps_3174}(p_3)_v*d_{j_2025,%gam_11338}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_d^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_6553(X)  A_\tau_8149(X)  to  AntiPart d_eps_3224(X)^(*)  d_eta_9878(X) : Vertex V_0:A(X_2), d(X_4), AntiPart  OffShell d(V_0), Vertex V_1:A(X_1), AntiPart d(X_3),  OffShell d(V_1), : -1/18*i*e^2*(p_2_%\mu_6226*gamma_{+%\mu_6226,%gam_11406,%gam_11407}*gamma_{%\nu_6592,%gam_11407,%eps_3200}*gamma_{%\tau_8223,%gam_11381,%gam_11406}*A_{l_2023,+%\tau_8223}(p_2)*A_{k_2023,+%\nu_6592}(p_1)*d_{i_2025,%eps_3200}(p_3)_v*d_{j_2025,%gam_11381}(p_4)_u^(*) + (-2)*p_4_%\tau_8223*gamma_{%\nu_6592,%gam_11389,%eps_3203}*A_{l_2023,+%\tau_8223}(p_2)*A_{k_2023,+%\nu_6592}(p_1)*d_{i_2025,%eps_3203}(p_3)_v*d_{j_2025,%gam_11389}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_d^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
